umeta_id,user_id,meta_key,meta_value
"7138","376","comment_shortcuts","false"
"7139","376","admin_color","fresh"
"7140","376","use_ssl","0"
"7141","376","show_admin_bar_front","true"
"7142","376","wp_capabilities","a:1:{s:10:""researcher"";b:1;}"
"232","10","twitter",""
"229","10","_yoast_wpseo_profile_updated","1493337807"
"9211","410","wp_user_level","0"
"233","10","googleplus",""
"234","10","instagram",""
"236","10","wp_user_level","0"
"9209","410","instagram",""
"7542","386","bp_xprofile_visibility_levels","a:4:{i:1;s:6:""public"";i:5;s:6:""public"";i:6;s:6:""public"";i:2;s:6:""public"";}"
"7540","386","dismissed_wp_pointers",""
"7541","386","_yoast_wpseo_profile_updated","1493379608"
"228","10","dismissed_wp_pointers",""
"230","10","bp_xprofile_visibility_levels","a:12:{i:1;s:6:""public"";i:13;s:6:""public"";i:5;s:6:""public"";i:6;s:6:""public"";i:7;s:6:""public"";i:2;s:6:""public"";i:4;s:6:""public"";i:12;s:6:""public"";i:3;s:6:""public"";i:8;s:6:""public"";i:9;s:6:""public"";i:10;s:6:""public"";}"
"235","10","wp_capabilities","a:1:{s:10:""researcher"";b:1;}"
"225","10","show_admin_bar_front","true"
"224","10","use_ssl","0"
"5722","329","admin_color","fresh"
"5721","329","comment_shortcuts","false"
"256","12","nickname","Stephen Einbinder"
"257","12","first_name",""
"258","12","last_name",""
"259","12","description",""
"260","12","rich_editing","true"
"261","12","comment_shortcuts","false"
"262","12","admin_color","fresh"
"263","12","use_ssl","0"
"264","12","show_admin_bar_front","true"
"265","12","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"266","12","wp_user_level","0"
"267","12","dismissed_wp_pointers",""
"268","12","_yoast_wpseo_profile_updated","1477709017"
"269","12","pending","1"
"270","12","joined","2016-08-19 14:52:40"
"271","13","nickname","Geek Buddy"
"272","13","first_name",""
"273","13","last_name",""
"274","13","description",""
"275","13","rich_editing","true"
"276","13","comment_shortcuts","false"
"277","13","admin_color","fresh"
"278","13","use_ssl","0"
"279","13","show_admin_bar_front","true"
"280","13","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"281","13","wp_user_level","0"
"282","13","dismissed_wp_pointers",""
"283","13","_yoast_wpseo_profile_updated","1477709017"
"284","13","pending","1"
"285","13","joined","2016-08-10 08:58:59"
"286","14","nickname","preciado"
"287","14","first_name",""
"288","14","last_name",""
"289","14","description",""
"290","14","rich_editing","true"
"291","14","comment_shortcuts","false"
"292","14","admin_color","fresh"
"293","14","use_ssl","0"
"294","14","show_admin_bar_front","true"
"295","14","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"296","14","wp_user_level","0"
"297","14","dismissed_wp_pointers",""
"298","14","_yoast_wpseo_profile_updated","1477709017"
"299","14","pending","1"
"300","14","joined","2016-08-07 20:48:41"
"301","15","nickname","Rich Lopez"
"302","15","first_name",""
"303","15","last_name",""
"304","15","description",""
"305","15","rich_editing","true"
"306","15","comment_shortcuts","false"
"307","15","admin_color","fresh"
"308","15","use_ssl","0"
"309","15","show_admin_bar_front","true"
"310","15","wp_capabilities","a:1:{s:10:""researcher"";b:1;}"
"311","15","wp_user_level","0"
"312","15","dismissed_wp_pointers",""
"313","15","_yoast_wpseo_profile_updated","1491954652"
"314","15","pending","1"
"315","15","joined","2016-05-11 14:26:19"
"316","15","profile.tagline","""Ancora imparo..."""
"317","15","profile.location","Hanover, NH, USA"
"318","16","nickname","Severo Covian"
"319","16","first_name",""
"320","16","last_name",""
"321","16","description",""
"322","16","rich_editing","true"
"323","16","comment_shortcuts","false"
"324","16","admin_color","fresh"
"325","16","use_ssl","0"
"326","16","show_admin_bar_front","true"
"327","16","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"328","16","wp_user_level","0"
"329","16","dismissed_wp_pointers",""
"330","16","_yoast_wpseo_profile_updated","1477709017"
"331","16","pending","1"
"332","16","joined","2016-03-20 18:04:05"
"333","16","profile.tagline","Powered by Art"
"334","16","profile.location","Boston, MA"
"335","17","nickname","Indigo Mcleod"
"336","17","first_name",""
"337","17","last_name",""
"338","17","description",""
"339","17","rich_editing","true"
"340","17","comment_shortcuts","false"
"341","17","admin_color","fresh"
"342","17","use_ssl","0"
"343","17","show_admin_bar_front","true"
